"z","P[Z<z]","P[Z>z]","P[|Z|<z]","P[|Z|>z]"
1.88,0.9699,0.0301,0.9398,0.0602
1.89,0.9706,0.0294,0.9412,0.0588
1.9,0.9713,0.0287,0.9426,0.0574
1.91,0.9719,0.0281,0.9438,0.0562
1.92,0.9726,0.0274,0.9452,0.0548
1.93,0.9732,0.0268,0.9464,0.0536
1.94,0.9738,0.0262,0.9476,0.0524
1.95,0.9744,0.0256,0.9488,0.0512
1.96,0.975,0.025,0.95,0.05
1.97,0.9756,0.0244,0.9512,0.0488
1.98,0.9761,0.0239,0.9522,0.0478
1.99,0.9767,0.0233,0.9534,0.0466
2,0.9772,0.0228,0.9544,0.0456
2.01,0.9778,0.0222,0.9556,0.0444
2.02,0.9783,0.0217,0.9566,0.0434
2.03,0.9788,0.0212,0.9576,0.0424
2.04,0.9793,0.0207,0.9586,0.0414
2.05,0.9798,0.0202,0.9596,0.0404
2.06,0.9803,0.0197,0.9606,0.0394
2.07,0.9808,0.0192,0.9616,0.0384
2.08,0.9812,0.0188,0.9624,0.0376
2.09,0.9817,0.0183,0.9634,0.0366
2.1,0.9821,0.0179,0.9642,0.0358
2.11,0.9826,0.0174,0.9652,0.0348
2.12,0.983,0.017,0.966,0.034
2.13,0.9834,0.0166,0.9668,0.0332
2.14,0.9838,0.0162,0.9676,0.0324
2.15,0.9842,0.0158,0.9684,0.0316
2.16,0.9846,0.0154,0.9692,0.0308
2.17,0.985,0.015,0.97,0.03
2.18,0.9854,0.0146,0.9708,0.0292
2.19,0.9857,0.0143,0.9714,0.0286
2.2,0.9861,0.0139,0.9722,0.0278
2.21,0.9864,0.0136,0.9728,0.0272
2.22,0.9868,0.0132,0.9736,0.0264
2.23,0.9871,0.0129,0.9742,0.0258
2.24,0.9875,0.0125,0.975,0.025
2.25,0.9878,0.0122,0.9756,0.0244
2.26,0.9881,0.0119,0.9762,0.0238
2.27,0.9884,0.0116,0.9768,0.0232
2.28,0.9887,0.0113,0.9774,0.0226
2.29,0.989,0.011,0.978,0.022
2.3,0.9893,0.0107,0.9786,0.0214
2.31,0.9896,0.0104,0.9792,0.0208
2.32,0.9898,0.0102,0.9796,0.0204
2.33,0.9901,0.0099,0.9802,0.0198
2.34,0.9904,0.0096,0.9808,0.0192
2.35,0.9906,0.0094,0.9812,0.0188
2.36,0.9909,0.0091,0.9818,0.0182
2.37,0.9911,0.0089,0.9822,0.0178
2.38,0.9913,0.0087,0.9826,0.0174
2.39,0.9916,0.0084,0.9832,0.0168
2.4,0.9918,0.0082,0.9836,0.0164
2.41,0.992,0.008,0.984,0.016
2.42,0.9922,0.0078,0.9844,0.0156
2.43,0.9925,0.0075,0.985,0.015
2.44,0.9927,0.0073,0.9854,0.0146
2.45,0.9929,0.0071,0.9858,0.0142
2.46,0.9931,0.0069,0.9862,0.0138
2.47,0.9932,0.0068,0.9864,0.0136
2.48,0.9934,0.0066,0.9868,0.0132
2.49,0.9936,0.0064,0.9872,0.0128
2.5,0.9938,0.0062,0.9876,0.0124
2.51,0.994,0.006,0.988,0.012
2.52,0.9941,0.0059,0.9882,0.0118
2.53,0.9943,0.0057,0.9886,0.0114
2.54,0.9945,0.0055,0.989,0.011
2.55,0.9946,0.0054,0.9892,0.0108
2.56,0.9948,0.0052,0.9896,0.0104
2.57,0.9949,0.0051,0.9898,0.0102
2.58,0.9951,0.0049,0.9902,0.0098
2.59,0.9952,0.0048,0.9904,0.0096
2.6,0.9953,0.0047,0.9906,0.0094
2.61,0.9955,0.0045,0.991,0.009
2.62,0.9956,0.0044,0.9912,0.0088
2.63,0.9957,0.0043,0.9914,0.0086
2.64,0.9959,0.0041,0.9918,0.0082
2.65,0.996,0.004,0.992,0.008
2.66,0.9961,0.0039,0.9922,0.0078
2.67,0.9962,0.0038,0.9924,0.0076
2.68,0.9963,0.0037,0.9926,0.0074
2.69,0.9964,0.0036,0.9928,0.0072
2.7,0.9965,0.0035,0.993,0.007
2.71,0.9966,0.0034,0.9932,0.0068
2.72,0.9967,0.0033,0.9934,0.0066
2.73,0.9968,0.0032,0.9936,0.0064
2.74,0.9969,0.0031,0.9938,0.0062
2.75,0.997,0.003,0.994,0.006
2.76,0.9971,0.0029,0.9942,0.0058
2.77,0.9972,0.0028,0.9944,0.0056
2.78,0.9973,0.0027,0.9946,0.0054
2.79,0.9974,0.0026,0.9948,0.0052
2.8,0.9974,0.0026,0.9948,0.0052
2.81,0.9975,0.0025,0.995,0.005
2.82,0.9976,0.0024,0.9952,0.0048
2.83,0.9977,0.0023,0.9954,0.0046
2.84,0.9977,0.0023,0.9954,0.0046
2.85,0.9978,0.0022,0.9956,0.0044
2.86,0.9979,0.0021,0.9958,0.0042
2.87,0.9979,0.0021,0.9958,0.0042
2.88,0.998,0.002,0.996,0.004
2.89,0.9981,0.0019,0.9962,0.0038
2.9,0.9981,0.0019,0.9962,0.0038
2.91,0.9982,0.0018,0.9964,0.0036
2.92,0.9982,0.0018,0.9964,0.0036
2.93,0.9983,0.0017,0.9966,0.0034
2.94,0.9984,0.0016,0.9968,0.0032
2.95,0.9984,0.0016,0.9968,0.0032
2.96,0.9985,0.0015,0.997,0.003
2.97,0.9985,0.0015,0.997,0.003
2.98,0.9986,0.0014,0.9972,0.0028
2.99,0.9986,0.0014,0.9972,0.0028
3,0.9987,0.0013,0.9974,0.0026
